Alloy Name,DOIs
Al0.3CoCrFeNiSi0.5,"['10.1016.j.intermet.2022.107600', '10.1016.j.msea.2019.138681', '10.1016.j.msea.2022.142983']"
Al0.3CoCrFeNiTi,"['10.1016.j.intermet.2022.107600', '10.1016.j.vacuum.2022.111350']"
Al0.3CoCrFeNiTi0.1,"['10.1016.j.intermet.2022.107600', '10.1016.j.jallcom.2010.02.032', '10.1016.j.mtcomm.2022.103328', '10.1016.j.vacuum.2022.111350']"
Al0.3CoCrFeNiTi0.3,"['10.1016.j.intermet.2022.107600', '10.1016.j.mtcomm.2022.103328', '10.1016.j.vacuum.2022.111350', '10.1016.j.msea.2021.141147']"
Al0.3CoCrFeNiTi0.5,"['10.1016.j.intermet.2022.107600', '10.1016.j.mtcomm.2022.103328', '10.1016.j.vacuum.2022.111350']"
Al0.3CoCrNi,"['10.1016.j.msea.2019.138372', '10.1016.j.scriptamat.2021.114239', '10.1016.j.scriptamat.2022.114949']"
Al0.3CoFeNi,"['10.1016.j.actamat.2021.116938', '10.1016.j.actamat.2023.119248', '10.1016.j.actamat.2023.118672']"
Al0.3Cr0.5Fe2Mn0.25Mo0.15Ni1.5Ti0.3,"['10.1016.j.corsci.2024.112262', '10.1016.j.corsci.2023.111138']"
Al0.3CrCuFeNi2,"['10.1016.j.actamat.2016.06.025', '10.1016.j.matchar.2018.07.030', '10.1016.j.actamat.2017.02.053']"
Al0.3CrFe0.6CoNi1.4,"['10.1016.j.intermet.2024.108206', '10.1016.j.msea.2022.144094']"
Al0.3CrFe1.5MnNi0.5,"['10.1016.j.jmst.2020.11.044', '10.1016.j.jmrt.2022.11.057', '10.1016.j.tsf.2008.06.014', '10.1016.S1003-6326(18)64707-7', '10.1016.j.corsci.2008.04.011', '10.1016.j.intermet.2012.09.022', '10.1016.j.jallcom.2012.09.133', '10.1016.j.matdes.2011.04.067', '10.1016.j.msea.2010.05.052']"
